period_code,period_label,period_type,geography_code,geography_label,observation,measure,unit,seasonal_adjustment
2023-08-08,2023-08-08,day,K02000001,United Kingdom,101.81,Delayable UK spending on credit and debit cards,number,NSA
2023-08-09,2023-08-09,day,K02000001,United Kingdom,102.64,Delayable UK spending on credit and debit cards,number,NSA
2023-08-10,2023-08-10,day,K02000001,United Kingdom,101.76,Delayable UK spending on credit and debit cards,number,NSA
2023-08-11,2023-08-11,day,K02000001,United Kingdom,100.32,Delayable UK spending on credit and debit cards,number,NSA
2023-08-14,2023-08-14,day,K02000001,United Kingdom,97.32,Delayable UK spending on credit and debit cards,number,NSA
2023-08-15,2023-08-15,day,K02000001,United Kingdom,97.41,Delayable UK spending on credit and debit cards,number,NSA
2023-08-16,2023-08-16,day,K02000001,United Kingdom,97.24,Delayable UK spending on credit and debit cards,number,NSA
2023-08-17,2023-08-17,day,K02000001,United Kingdom,95.31,Delayable UK spending on credit and debit cards,number,NSA
2023-08-18,2023-08-18,day,K02000001,United Kingdom,96.09,Delayable UK spending on credit and debit cards,number,NSA
2023-08-21,2023-08-21,day,K02000001,United Kingdom,97.67,Delayable UK spending on credit and debit cards,number,NSA
2023-08-22,2023-08-22,day,K02000001,United Kingdom,96.25,Delayable UK spending on credit and debit cards,number,NSA
2023-08-23,2023-08-23,day,K02000001,United Kingdom,97.08,Delayable UK spending on credit and debit cards,number,NSA
2023-08-24,2023-08-24,day,K02000001,United Kingdom,99.15,Delayable UK spending on credit and debit cards,number,NSA
2023-08-25,2023-08-25,day,K02000001,United Kingdom,99.46,Delayable UK spending on credit and debit cards,number,NSA
2023-08-29,2023-08-29,day,K02000001,United Kingdom,104.13,Delayable UK spending on credit and debit cards,number,NSA
2023-08-30,2023-08-30,day,K02000001,United Kingdom,108.76,Delayable UK spending on credit and debit cards,number,NSA
2023-08-31,2023-08-31,day,K02000001,United Kingdom,110.15,Delayable UK spending on credit and debit cards,number,NSA
2023-09-01,2023-09-01,day,K02000001,United Kingdom,111.29,Delayable UK spending on credit and debit cards,number,NSA
2023-09-04,2023-09-04,day,K02000001,United Kingdom,109.7,Delayable UK spending on credit and debit cards,number,NSA
2023-09-05,2023-09-05,day,K02000001,United Kingdom,110.62,Delayable UK spending on credit and debit cards,number,NSA
2023-09-06,2023-09-06,day,K02000001,United Kingdom,103.09,Delayable UK spending on credit and debit cards,number,NSA
2023-09-07,2023-09-07,day,K02000001,United Kingdom,99.41,Delayable UK spending on credit and debit cards,number,NSA
2023-09-08,2023-09-08,day,K02000001,United Kingdom,96.85,Delayable UK spending on credit and debit cards,number,NSA
2023-09-11,2023-09-11,day,K02000001,United Kingdom,93.96,Delayable UK spending on credit and debit cards,number,NSA
2023-09-12,2023-09-12,day,K02000001,United Kingdom,93.68,Delayable UK spending on credit and debit cards,number,NSA
2023-09-13,2023-09-13,day,K02000001,United Kingdom,95.67,Delayable UK spending on credit and debit cards,number,NSA
2023-09-14,2023-09-14,day,K02000001,United Kingdom,95.8,Delayable UK spending on credit and debit cards,number,NSA
2023-09-15,2023-09-15,day,K02000001,United Kingdom,94.29,Delayable UK spending on credit and debit cards,number,NSA
2023-09-18,2023-09-18,day,K02000001,United Kingdom,89.68,Delayable UK spending on credit and debit cards,number,NSA
2023-09-19,2023-09-19,day,K02000001,United Kingdom,88.19,Delayable UK spending on credit and debit cards,number,NSA
2023-09-20,2023-09-20,day,K02000001,United Kingdom,86.27,Delayable UK spending on credit and debit cards,number,NSA
2023-09-21,2023-09-21,day,K02000001,United Kingdom,86.25,Delayable UK spending on credit and debit cards,number,NSA
2023-09-22,2023-09-22,day,K02000001,United Kingdom,86.65,Delayable UK spending on credit and debit cards,number,NSA
2023-09-25,2023-09-25,day,K02000001,United Kingdom,88.96,Delayable UK spending on credit and debit cards,number,NSA
2023-09-26,2023-09-26,day,K02000001,United Kingdom,89.56,Delayable UK spending on credit and debit cards,number,NSA
2023-09-27,2023-09-27,day,K02000001,United Kingdom,90.03,Delayable UK spending on credit and debit cards,number,NSA
2023-09-28,2023-09-28,day,K02000001,United Kingdom,90.83,Delayable UK spending on credit and debit cards,number,NSA
2023-09-29,2023-09-29,day,K02000001,United Kingdom,91.99,Delayable UK spending on credit and debit cards,number,NSA
2023-10-02,2023-10-02,day,K02000001,United Kingdom,96.33,Delayable UK spending on credit and debit cards,number,NSA
2023-10-03,2023-10-03,day,K02000001,United Kingdom,97.08,Delayable UK spending on credit and debit cards,number,NSA
2023-10-04,2023-10-04,day,K02000001,United Kingdom,97.95,Delayable UK spending on credit and debit cards,number,NSA
2023-10-05,2023-10-05,day,K02000001,United Kingdom,98.2,Delayable UK spending on credit and debit cards,number,NSA
2023-10-06,2023-10-06,day,K02000001,United Kingdom,97.41,Delayable UK spending on credit and debit cards,number,NSA
2023-10-09,2023-10-09,day,K02000001,United Kingdom,92.8,Delayable UK spending on credit and debit cards,number,NSA
2023-10-10,2023-10-10,day,K02000001,United Kingdom,91.74,Delayable UK spending on credit and debit cards,number,NSA
2023-10-11,2023-10-11,day,K02000001,United Kingdom,90.65,Delayable UK spending on credit and debit cards,number,NSA
2023-10-12,2023-10-12,day,K02000001,United Kingdom,89.81,Delayable UK spending on credit and debit cards,number,NSA
2023-10-13,2023-10-13,day,K02000001,United Kingdom,89.52,Delayable UK spending on credit and debit cards,number,NSA
2023-10-16,2023-10-16,day,K02000001,United Kingdom,91.34,Delayable UK spending on credit and debit cards,number,NSA
2023-10-17,2023-10-17,day,K02000001,United Kingdom,92.38,Delayable UK spending on credit and debit cards,number,NSA
2023-10-18,2023-10-18,day,K02000001,United Kingdom,93.02,Delayable UK spending on credit and debit cards,number,NSA
2023-10-19,2023-10-19,day,K02000001,United Kingdom,93.27,Delayable UK spending on credit and debit cards,number,NSA
2023-10-20,2023-10-20,day,K02000001,United Kingdom,93.41,Delayable UK spending on credit and debit cards,number,NSA
2023-10-23,2023-10-23,day,K02000001,United Kingdom,92.52,Delayable UK spending on credit and debit cards,number,NSA
2023-10-24,2023-10-24,day,K02000001,United Kingdom,92.68,Delayable UK spending on credit and debit cards,number,NSA
2023-10-25,2023-10-25,day,K02000001,United Kingdom,93.28,Delayable UK spending on credit and debit cards,number,NSA
2023-10-26,2023-10-26,day,K02000001,United Kingdom,94.92,Delayable UK spending on credit and debit cards,number,NSA
2023-10-27,2023-10-27,day,K02000001,United Kingdom,96.57,Delayable UK spending on credit and debit cards,number,NSA
2023-10-30,2023-10-30,day,K02000001,United Kingdom,99.99,Delayable UK spending on credit and debit cards,number,NSA
2023-10-31,2023-10-31,day,K02000001,United Kingdom,100.76,Delayable UK spending on credit and debit cards,number,NSA
2023-11-01,2023-11-01,day,K02000001,United Kingdom,101.43,Delayable UK spending on credit and debit cards,number,NSA
2023-11-02,2023-11-02,day,K02000001,United Kingdom,102.0,Delayable UK spending on credit and debit cards,number,NSA
2023-11-03,2023-11-03,day,K02000001,United Kingdom,102.19,Delayable UK spending on credit and debit cards,number,NSA
2023-11-06,2023-11-06,day,K02000001,United Kingdom,107.07,Delayable UK spending on credit and debit cards,number,NSA
2023-11-07,2023-11-07,day,K02000001,United Kingdom,108.12,Delayable UK spending on credit and debit cards,number,NSA
2023-11-08,2023-11-08,day,K02000001,United Kingdom,108.49,Delayable UK spending on credit and debit cards,number,NSA
2023-11-09,2023-11-09,day,K02000001,United Kingdom,108.23,Delayable UK spending on credit and debit cards,number,NSA
2023-11-10,2023-11-10,day,K02000001,United Kingdom,108.69,Delayable UK spending on credit and debit cards,number,NSA
2023-11-13,2023-11-13,day,K02000001,United Kingdom,108.87,Delayable UK spending on credit and debit cards,number,NSA
2023-11-14,2023-11-14,day,K02000001,United Kingdom,108.67,Delayable UK spending on credit and debit cards,number,NSA
2023-11-15,2023-11-15,day,K02000001,United Kingdom,108.59,Delayable UK spending on credit and debit cards,number,NSA
2023-11-16,2023-11-16,day,K02000001,United Kingdom,109.97,Delayable UK spending on credit and debit cards,number,NSA
2023-11-17,2023-11-17,day,K02000001,United Kingdom,110.68,Delayable UK spending on credit and debit cards,number,NSA
2023-11-20,2023-11-20,day,K02000001,United Kingdom,114.12,Delayable UK spending on credit and debit cards,number,NSA
2023-11-21,2023-11-21,day,K02000001,United Kingdom,116.21,Delayable UK spending on credit and debit cards,number,NSA
2023-11-22,2023-11-22,day,K02000001,United Kingdom,118.55,Delayable UK spending on credit and debit cards,number,NSA
2023-11-23,2023-11-23,day,K02000001,United Kingdom,119.76,Delayable UK spending on credit and debit cards,number,NSA
2023-11-24,2023-11-24,day,K02000001,United Kingdom,122.17,Delayable UK spending on credit and debit cards,number,NSA
2023-11-27,2023-11-27,day,K02000001,United Kingdom,136.21,Delayable UK spending on credit and debit cards,number,NSA
2023-11-28,2023-11-28,day,K02000001,United Kingdom,140.45,Delayable UK spending on credit and debit cards,number,NSA
2023-11-29,2023-11-29,day,K02000001,United Kingdom,141.81,Delayable UK spending on credit and debit cards,number,NSA
2023-11-30,2023-11-30,day,K02000001,United Kingdom,142.27,Delayable UK spending on credit and debit cards,number,NSA
2023-12-01,2023-12-01,day,K02000001,United Kingdom,142.97,Delayable UK spending on credit and debit cards,number,NSA
2023-12-04,2023-12-04,day,K02000001,United Kingdom,133.42,Delayable UK spending on credit and debit cards,number,NSA
2023-12-05,2023-12-05,day,K02000001,United Kingdom,131.48,Delayable UK spending on credit and debit cards,number,NSA
2023-12-06,2023-12-06,day,K02000001,United Kingdom,131.86,Delayable UK spending on credit and debit cards,number,NSA
2023-12-07,2023-12-07,day,K02000001,United Kingdom,133.5,Delayable UK spending on credit and debit cards,number,NSA
2023-12-08,2023-12-08,day,K02000001,United Kingdom,132.94,Delayable UK spending on credit and debit cards,number,NSA
2023-12-11,2023-12-11,day,K02000001,United Kingdom,135.39,Delayable UK spending on credit and debit cards,number,NSA
2023-12-12,2023-12-12,day,K02000001,United Kingdom,136.92,Delayable UK spending on credit and debit cards,number,NSA
2023-12-13,2023-12-13,day,K02000001,United Kingdom,137.64,Delayable UK spending on credit and debit cards,number,NSA
2023-12-14,2023-12-14,day,K02000001,United Kingdom,138.4,Delayable UK spending on credit and debit cards,number,NSA
2023-12-15,2023-12-15,day,K02000001,United Kingdom,140.55,Delayable UK spending on credit and debit cards,number,NSA
2023-12-18,2023-12-18,day,K02000001,United Kingdom,144.63,Delayable UK spending on credit and debit cards,number,NSA
2023-12-19,2023-12-19,day,K02000001,United Kingdom,148.32,Delayable UK spending on credit and debit cards,number,NSA
2023-12-20,2023-12-20,day,K02000001,United Kingdom,152.83,Delayable UK spending on credit and debit cards,number,NSA
2023-12-21,2023-12-21,day,K02000001,United Kingdom,158.74,Delayable UK spending on credit and debit cards,number,NSA
2023-12-22,2023-12-22,day,K02000001,United Kingdom,165.83,Delayable UK spending on credit and debit cards,number,NSA
2023-12-27,2023-12-27,day,K02000001,United Kingdom,138.57,Delayable UK spending on credit and debit cards,number,NSA
2023-12-28,2023-12-28,day,K02000001,United Kingdom,132.0,Delayable UK spending on credit and debit cards,number,NSA
2023-12-29,2023-12-29,day,K02000001,United Kingdom,119.82,Delayable UK spending on credit and debit cards,number,NSA
2024-01-02,2024-01-02,day,K02000001,United Kingdom,104.0,Delayable UK spending on credit and debit cards,number,NSA
2024-01-03,2024-01-03,day,K02000001,United Kingdom,90.56,Delayable UK spending on credit and debit cards,number,NSA
2024-01-04,2024-01-04,day,K02000001,United Kingdom,83.97,Delayable UK spending on credit and debit cards,number,NSA
2024-01-05,2024-01-05,day,K02000001,United Kingdom,80.46,Delayable UK spending on credit and debit cards,number,NSA
2024-01-08,2024-01-08,day,K02000001,United Kingdom,79.9,Delayable UK spending on credit and debit cards,number,NSA
2024-01-09,2024-01-09,day,K02000001,United Kingdom,82.84,Delayable UK spending on credit and debit cards,number,NSA
2024-01-10,2024-01-10,day,K02000001,United Kingdom,78.55,Delayable UK spending on credit and debit cards,number,NSA
2024-01-11,2024-01-11,day,K02000001,United Kingdom,76.46,Delayable UK spending on credit and debit cards,number,NSA
2024-01-12,2024-01-12,day,K02000001,United Kingdom,75.14,Delayable UK spending on credit and debit cards,number,NSA
2024-01-15,2024-01-15,day,K02000001,United Kingdom,75.89,Delayable UK spending on credit and debit cards,number,NSA
2024-01-16,2024-01-16,day,K02000001,United Kingdom,76.36,Delayable UK spending on credit and debit cards,number,NSA
2024-01-17,2024-01-17,day,K02000001,United Kingdom,76.34,Delayable UK spending on credit and debit cards,number,NSA
2024-01-18,2024-01-18,day,K02000001,United Kingdom,75.92,Delayable UK spending on credit and debit cards,number,NSA
2024-01-19,2024-01-19,day,K02000001,United Kingdom,75.57,Delayable UK spending on credit and debit cards,number,NSA
2024-01-22,2024-01-22,day,K02000001,United Kingdom,75.09,Delayable UK spending on credit and debit cards,number,NSA
2024-01-23,2024-01-23,day,K02000001,United Kingdom,74.62,Delayable UK spending on credit and debit cards,number,NSA
2024-01-24,2024-01-24,day,K02000001,United Kingdom,74.21,Delayable UK spending on credit and debit cards,number,NSA
2024-01-25,2024-01-25,day,K02000001,United Kingdom,74.64,Delayable UK spending on credit and debit cards,number,NSA
2024-01-26,2024-01-26,day,K02000001,United Kingdom,75.41,Delayable UK spending on credit and debit cards,number,NSA
2024-01-29,2024-01-29,day,K02000001,United Kingdom,77.71,Delayable UK spending on credit and debit cards,number,NSA
2024-01-30,2024-01-30,day,K02000001,United Kingdom,78.32,Delayable UK spending on credit and debit cards,number,NSA
2024-01-31,2024-01-31,day,K02000001,United Kingdom,79.21,Delayable UK spending on credit and debit cards,number,NSA
2024-02-01,2024-02-01,day,K02000001,United Kingdom,79.95,Delayable UK spending on credit and debit cards,number,NSA
2024-02-02,2024-02-02,day,K02000001,United Kingdom,80.35,Delayable UK spending on credit and debit cards,number,NSA
2024-02-05,2024-02-05,day,K02000001,United Kingdom,80.08,Delayable UK spending on credit and debit cards,number,NSA
2024-02-06,2024-02-06,day,K02000001,United Kingdom,80.32,Delayable UK spending on credit and debit cards,number,NSA
2024-02-07,2024-02-07,day,K02000001,United Kingdom,80.33,Delayable UK spending on credit and debit cards,number,NSA
2024-02-08,2024-02-08,day,K02000001,United Kingdom,80.43,Delayable UK spending on credit and debit cards,number,NSA
2024-02-09,2024-02-09,day,K02000001,United Kingdom,79.77,Delayable UK spending on credit and debit cards,number,NSA
2024-02-12,2024-02-12,day,K02000001,United Kingdom,80.94,Delayable UK spending on credit and debit cards,number,NSA
2024-02-13,2024-02-13,day,K02000001,United Kingdom,82.42,Delayable UK spending on credit and debit cards,number,NSA
2024-02-14,2024-02-14,day,K02000001,United Kingdom,84.24,Delayable UK spending on credit and debit cards,number,NSA
2024-02-15,2024-02-15,day,K02000001,United Kingdom,85.1,Delayable UK spending on credit and debit cards,number,NSA
2024-02-16,2024-02-16,day,K02000001,United Kingdom,85.94,Delayable UK spending on credit and debit cards,number,NSA
2024-02-19,2024-02-19,day,K02000001,United Kingdom,83.6,Delayable UK spending on credit and debit cards,number,NSA
2024-02-20,2024-02-20,day,K02000001,United Kingdom,82.26,Delayable UK spending on credit and debit cards,number,NSA
2024-02-21,2024-02-21,day,K02000001,United Kingdom,80.72,Delayable UK spending on credit and debit cards,number,NSA
2024-02-22,2024-02-22,day,K02000001,United Kingdom,79.05,Delayable UK spending on credit and debit cards,number,NSA
2024-02-23,2024-02-23,day,K02000001,United Kingdom,78.39,Delayable UK spending on credit and debit cards,number,NSA
2024-02-26,2024-02-26,day,K02000001,United Kingdom,80.81,Delayable UK spending on credit and debit cards,number,NSA
2024-02-27,2024-02-27,day,K02000001,United Kingdom,81.18,Delayable UK spending on credit and debit cards,number,NSA
2024-02-28,2024-02-28,day,K02000001,United Kingdom,81.6,Delayable UK spending on credit and debit cards,number,NSA
2024-02-29,2024-02-29,day,K02000001,United Kingdom,82.97,Delayable UK spending on credit and debit cards,number,NSA
2024-03-01,2024-03-01,day,K02000001,United Kingdom,85.09,Delayable UK spending on credit and debit cards,number,NSA
2024-03-04,2024-03-04,day,K02000001,United Kingdom,88.18,Delayable UK spending on credit and debit cards,number,NSA
2024-03-05,2024-03-05,day,K02000001,United Kingdom,88.98,Delayable UK spending on credit and debit cards,number,NSA
2024-03-06,2024-03-06,day,K02000001,United Kingdom,89.19,Delayable UK spending on credit and debit cards,number,NSA
2024-03-07,2024-03-07,day,K02000001,United Kingdom,89.59,Delayable UK spending on credit and debit cards,number,NSA
2024-03-08,2024-03-08,day,K02000001,United Kingdom,88.98,Delayable UK spending on credit and debit cards,number,NSA
2024-03-11,2024-03-11,day,K02000001,United Kingdom,87.51,Delayable UK spending on credit and debit cards,number,NSA
2024-03-12,2024-03-12,day,K02000001,United Kingdom,86.33,Delayable UK spending on credit and debit cards,number,NSA
2024-03-13,2024-03-13,day,K02000001,United Kingdom,85.54,Delayable UK spending on credit and debit cards,number,NSA
2024-03-14,2024-03-14,day,K02000001,United Kingdom,84.6,Delayable UK spending on credit and debit cards,number,NSA
2024-03-15,2024-03-15,day,K02000001,United Kingdom,83.44,Delayable UK spending on credit and debit cards,number,NSA
2024-03-18,2024-03-18,day,K02000001,United Kingdom,81.49,Delayable UK spending on credit and debit cards,number,NSA
2024-03-19,2024-03-19,day,K02000001,United Kingdom,81.9,Delayable UK spending on credit and debit cards,number,NSA
2024-03-20,2024-03-20,day,K02000001,United Kingdom,81.41,Delayable UK spending on credit and debit cards,number,NSA
2024-03-21,2024-03-21,day,K02000001,United Kingdom,81.68,Delayable UK spending on credit and debit cards,number,NSA
2024-03-22,2024-03-22,day,K02000001,United Kingdom,81.4,Delayable UK spending on credit and debit cards,number,NSA
2024-03-25,2024-03-25,day,K02000001,United Kingdom,82.91,Delayable UK spending on credit and debit cards,number,NSA
2024-03-26,2024-03-26,day,K02000001,United Kingdom,86.01,Delayable UK spending on credit and debit cards,number,NSA
2024-03-27,2024-03-27,day,K02000001,United Kingdom,88.48,Delayable UK spending on credit and debit cards,number,NSA
2024-03-28,2024-03-28,day,K02000001,United Kingdom,90.67,Delayable UK spending on credit and debit cards,number,NSA
2024-04-02,2024-04-02,day,K02000001,United Kingdom,91.01,Delayable UK spending on credit and debit cards,number,NSA
2024-04-03,2024-04-03,day,K02000001,United Kingdom,96.33,Delayable UK spending on credit and debit cards,number,NSA
2024-04-04,2024-04-04,day,K02000001,United Kingdom,95.71,Delayable UK spending on credit and debit cards,number,NSA
2024-04-05,2024-04-05,day,K02000001,United Kingdom,95.29,Delayable UK spending on credit and debit cards,number,NSA
2024-04-08,2024-04-08,day,K02000001,United Kingdom,93.34,Delayable UK spending on credit and debit cards,number,NSA
2024-04-09,2024-04-09,day,K02000001,United Kingdom,94.87,Delayable UK spending on credit and debit cards,number,NSA
2024-04-10,2024-04-10,day,K02000001,United Kingdom,89.16,Delayable UK spending on credit and debit cards,number,NSA
2024-04-11,2024-04-11,day,K02000001,United Kingdom,87.84,Delayable UK spending on credit and debit cards,number,NSA
2024-04-12,2024-04-12,day,K02000001,United Kingdom,86.69,Delayable UK spending on credit and debit cards,number,NSA
2024-04-15,2024-04-15,day,K02000001,United Kingdom,83.73,Delayable UK spending on credit and debit cards,number,NSA
2024-04-16,2024-04-16,day,K02000001,United Kingdom,82.79,Delayable UK spending on credit and debit cards,number,NSA
2024-04-17,2024-04-17,day,K02000001,United Kingdom,82.2,Delayable UK spending on credit and debit cards,number,NSA
2024-04-18,2024-04-18,day,K02000001,United Kingdom,82.17,Delayable UK spending on credit and debit cards,number,NSA
2024-04-19,2024-04-19,day,K02000001,United Kingdom,81.83,Delayable UK spending on credit and debit cards,number,NSA
2024-04-22,2024-04-22,day,K02000001,United Kingdom,82.82,Delayable UK spending on credit and debit cards,number,NSA
2024-04-23,2024-04-23,day,K02000001,United Kingdom,82.89,Delayable UK spending on credit and debit cards,number,NSA
2024-04-24,2024-04-24,day,K02000001,United Kingdom,82.67,Delayable UK spending on credit and debit cards,number,NSA
2024-04-25,2024-04-25,day,K02000001,United Kingdom,82.55,Delayable UK spending on credit and debit cards,number,NSA
2024-04-26,2024-04-26,day,K02000001,United Kingdom,82.85,Delayable UK spending on credit and debit cards,number,NSA
2024-04-29,2024-04-29,day,K02000001,United Kingdom,87.79,Delayable UK spending on credit and debit cards,number,NSA
2024-04-30,2024-04-30,day,K02000001,United Kingdom,88.65,Delayable UK spending on credit and debit cards,number,NSA
2024-05-01,2024-05-01,day,K02000001,United Kingdom,90.27,Delayable UK spending on credit and debit cards,number,NSA
2024-05-02,2024-05-02,day,K02000001,United Kingdom,91.72,Delayable UK spending on credit and debit cards,number,NSA
2024-05-03,2024-05-03,day,K02000001,United Kingdom,95.38,Delayable UK spending on credit and debit cards,number,NSA
2024-05-07,2024-05-07,day,K02000001,United Kingdom,92.21,Delayable UK spending on credit and debit cards,number,NSA
2024-05-08,2024-05-08,day,K02000001,United Kingdom,89.42,Delayable UK spending on credit and debit cards,number,NSA
2024-05-09,2024-05-09,day,K02000001,United Kingdom,86.28,Delayable UK spending on credit and debit cards,number,NSA
2020-01-13,2020-01-13,day,K02000001,United Kingdom,88.19,Social UK spending on credit and debit cards,number,NSA
2020-01-14,2020-01-14,day,K02000001,United Kingdom,88.84,Social UK spending on credit and debit cards,number,NSA
2020-01-15,2020-01-15,day,K02000001,United Kingdom,90.23,Social UK spending on credit and debit cards,number,NSA
2020-01-16,2020-01-16,day,K02000001,United Kingdom,91.72,Social UK spending on credit and debit cards,number,NSA
2020-01-17,2020-01-17,day,K02000001,United Kingdom,92.87,Social UK spending on credit and debit cards,number,NSA
2020-01-20,2020-01-20,day,K02000001,United Kingdom,94.70,Social UK spending on credit and debit cards,number,NSA
2020-01-21,2020-01-21,day,K02000001,United Kingdom,95.29,Social UK spending on credit and debit cards,number,NSA
2020-01-22,2020-01-22,day,K02000001,United Kingdom,95.24,Social UK spending on credit and debit cards,number,NSA
2020-01-23,2020-01-23,day,K02000001,United Kingdom,95.03,Social UK spending on credit and debit cards,number,NSA
2020-01-24,2020-01-24,day,K02000001,United Kingdom,93.24,Social UK spending on credit and debit cards,number,NSA
2020-01-27,2020-01-27,day,K02000001,United Kingdom,96.10,Social UK spending on credit and debit cards,number,NSA
2020-01-28,2020-01-28,day,K02000001,United Kingdom,95.62,Social UK spending on credit and debit cards,number,NSA
2020-01-29,2020-01-29,day,K02000001,United Kingdom,95.77,Social UK spending on credit and debit cards,number,NSA
2020-01-30,2020-01-30,day,K02000001,United Kingdom,94.21,Social UK spending on credit and debit cards,number,NSA
2020-01-31,2020-01-31,day,K02000001,United Kingdom,98.12,Social UK spending on credit and debit cards,number,NSA
2020-02-03,2020-02-03,day,K02000001,United Kingdom,98.60,Social UK spending on credit and debit cards,number,NSA
2020-02-04,2020-02-04,day,K02000001,United Kingdom,99.38,Social UK spending on credit and debit cards,number,NSA
2020-02-05,2020-02-05,day,K02000001,United Kingdom,99.53,Social UK spending on credit and debit cards,number,NSA
2020-02-06,2020-02-06,day,K02000001,United Kingdom,101.50,Social UK spending on credit and debit cards,number,NSA
2020-02-07,2020-02-07,day,K02000001,United Kingdom,99.83,Social UK spending on credit and debit cards,number,NSA
2020-02-10,2020-02-10,day,K02000001,United Kingdom,96.00,Social UK spending on credit and debit cards,number,NSA
2020-02-11,2020-02-11,day,K02000001,United Kingdom,95.78,Social UK spending on credit and debit cards,number,NSA
2020-02-12,2020-02-12,day,K02000001,United Kingdom,95.66,Social UK spending on credit and debit cards,number,NSA
2020-02-13,2020-02-13,day,K02000001,United Kingdom,95.68,Social UK spending on credit and debit cards,number,NSA
2020-02-14,2020-02-14,day,K02000001,United Kingdom,95.48,Social UK spending on credit and debit cards,number,NSA
2020-02-17,2020-02-17,day,K02000001,United Kingdom,94.95,Social UK spending on credit and debit cards,number,NSA
2020-02-18,2020-02-18,day,K02000001,United Kingdom,100.11,Social UK spending on credit and debit cards,number,NSA
2020-02-19,2020-02-19,day,K02000001,United Kingdom,101.73,Social UK spending on credit and debit cards,number,NSA
2020-02-20,2020-02-20,day,K02000001,United Kingdom,103.46,Social UK spending on credit and debit cards,number,NSA
2020-02-21,2020-02-21,day,K02000001,United Kingdom,105.49,Social UK spending on credit and debit cards,number,NSA
2020-02-24,2020-02-24,day,K02000001,United Kingdom,107.83,Social UK spending on credit and debit cards,number,NSA
2020-02-25,2020-02-25,day,K02000001,United Kingdom,102.26,Social UK spending on credit and debit cards,number,NSA
2020-02-26,2020-02-26,day,K02000001,United Kingdom,99.56,Social UK spending on credit and debit cards,number,NSA
2020-02-27,2020-02-27,day,K02000001,United Kingdom,97.20,Social UK spending on credit and debit cards,number,NSA
2020-02-28,2020-02-28,day,K02000001,United Kingdom,95.22,Social UK spending on credit and debit cards,number,NSA
2020-03-02,2020-03-02,day,K02000001,United Kingdom,97.35,Social UK spending on credit and debit cards,number,NSA
2020-03-03,2020-03-03,day,K02000001,United Kingdom,97.75,Social UK spending on credit and debit cards,number,NSA
2020-03-04,2020-03-04,day,K02000001,United Kingdom,98.33,Social UK spending on credit and debit cards,number,NSA
2020-03-05,2020-03-05,day,K02000001,United Kingdom,98.02,Social UK spending on credit and debit cards,number,NSA
2020-03-06,2020-03-06,day,K02000001,United Kingdom,98.13,Social UK spending on credit and debit cards,number,NSA
2020-03-09,2020-03-09,day,K02000001,United Kingdom,95.04,Social UK spending on credit and debit cards,number,NSA
2020-03-10,2020-03-10,day,K02000001,United Kingdom,93.90,Social UK spending on credit and debit cards,number,NSA
2020-03-11,2020-03-11,day,K02000001,United Kingdom,93.80,Social UK spending on credit and debit cards,number,NSA
2020-03-12,2020-03-12,day,K02000001,United Kingdom,93.30,Social UK spending on credit and debit cards,number,NSA
2020-03-13,2020-03-13,day,K02000001,United Kingdom,90.38,Social UK spending on credit and debit cards,number,NSA
2020-03-16,2020-03-16,day,K02000001,United Kingdom,80.16,Social UK spending on credit and debit cards,number,NSA
2020-03-17,2020-03-17,day,K02000001,United Kingdom,75.94,Social UK spending on credit and debit cards,number,NSA
2020-03-18,2020-03-18,day,K02000001,United Kingdom,71.87,Social UK spending on credit and debit cards,number,NSA
2020-03-19,2020-03-19,day,K02000001,United Kingdom,65.67,Social UK spending on credit and debit cards,number,NSA
2020-03-20,2020-03-20,day,K02000001,United Kingdom,60.61,Social UK spending on credit and debit cards,number,NSA
2020-03-23,2020-03-23,day,K02000001,United Kingdom,38.97,Social UK spending on credit and debit cards,number,NSA
2020-03-24,2020-03-24,day,K02000001,United Kingdom,36.09,Social UK spending on credit and debit cards,number,NSA
2020-03-25,2020-03-25,day,K02000001,United Kingdom,30.72,Social UK spending on credit and debit cards,number,NSA
2020-03-26,2020-03-26,day,K02000001,United Kingdom,27.98,Social UK spending on credit and debit cards,number,NSA
2020-03-27,2020-03-27,day,K02000001,United Kingdom,25.46,Social UK spending on credit and debit cards,number,NSA
2020-03-30,2020-03-30,day,K02000001,United Kingdom,17.13,Social UK spending on credit and debit cards,number,NSA
2020-03-31,2020-03-31,day,K02000001,United Kingdom,18.80,Social UK spending on credit and debit cards,number,NSA
2020-04-01,2020-04-01,day,K02000001,United Kingdom,18.90,Social UK spending on credit and debit cards,number,NSA
2020-04-02,2020-04-02,day,K02000001,United Kingdom,19.08,Social UK spending on credit and debit cards,number,NSA
2020-04-03,2020-04-03,day,K02000001,United Kingdom,19.33,Social UK spending on credit and debit cards,number,NSA
2020-04-06,2020-04-06,day,K02000001,United Kingdom,23.25,Social UK spending on credit and debit cards,number,NSA
2020-04-07,2020-04-07,day,K02000001,United Kingdom,20.76,Social UK spending on credit and debit cards,number,NSA
2020-04-08,2020-04-08,day,K02000001,United Kingdom,20.21,Social UK spending on credit and debit cards,number,NSA
2020-04-09,2020-04-09,day,K02000001,United Kingdom,20.39,Social UK spending on credit and debit cards,number,NSA
2020-04-14,2020-04-14,day,K02000001,United Kingdom,19.76,Social UK spending on credit and debit cards,number,NSA
